Exam_Code,Certification_Name,Vendor,Level,Overview,Objective,Learning_Path
Exam AZ-800,Administering Windows Server Hybrid Core Infrastructure,Microsoft,Intermediate,"As a candidate for this exam, youre responsible for administering Windows Server as a workload in both on-premises and hybrid environments.","As a candidate for this exam, youre responsible for administering Windows Server as a workload in both on-premises and hybrid environments. In this role, you deploy, implement, manage, and troubleshoot Windows Server in Azure as well as migrating and deploying workloads to Azure. You administer on- identity, security, management, compute, networking, storage, monitoring, high availability, and disaster recovery for Windows Server. You typically collaborate with architects, administrators, and engineers. You use administrative tools and technologies such as Windows Admin Center, PowerShell, Azure Arc, Azure Policy, Azure Monitor, Azure Update Manager, Microsoft Defender for Identity, Microsoft Defender for Cloud, and IaaS virtual machine (VM) administration. As a candidate for this exam, you should have several years of experience with Windows Server operating systems. Important The English language version of this exam will be updated on June 17, 2025. Review the study guide linked in the Tip box for details on upcoming changes. If a localized version of this exam is available, it will be updated approximately eight weeks after this date. While Microsoft makes every effort to update localized versions as noted, there may be times when the localized versions of this exam are not updated on this schedule. Passing score: 700.Learn more about exam scores. Tip", Module 1. Deploy and manage identity infrastructure. Module 2. Manage Windows Servers and workloads in a hybrid environment. Module 3. Manage virtualization and containers in a hybrid environment. Module 4. Implement and operate an on-premises and hybrid networking infrastructure. Module 5. Configure storage and file services.
Exam AZ-801,Configuring Windows Server Hybrid Advanced Services,Microsoft,Intermediate,"As a candidate for this exam, youre responsible for administering Windows Server as a workload in both on-premises and hybrid environments.","As a candidate for this exam, youre responsible for administering Windows Server as a workload in both on-premises and hybrid environments. In this role, you deploy, implement, manage, and troubleshoot Windows Server in Azure as well as migrating and deploying workloads to Azure. You administer on- identity, security, management, compute, networking, storage, monitoring, high availability, and disaster recovery for Windows Server. You typically collaborate with architects, administrators, and engineers. You use administrative tools and technologies such as Windows Admin Center, PowerShell, Azure Arc, Azure Policy, Azure Monitor, Azure Update Manager, Microsoft Defender for Identity, Microsoft Defender for Cloud, and IaaS virtual machine (VM) administration. As a candidate for this exam, you should have several years of experience with Windows Server operating systems. Important The English language version of this exam will be updated on June 17, 2025. Review the study guide linked in the Tip box for details on upcoming changes. If a localized version of this exam is available, it will be updated approximately eight weeks after this date. While Microsoft makes every effort to update localized versions as noted, there may be times when the localized versions of this exam are not updated on this schedule. Passing score: 700.Learn more about exam scores. Tip", Module 1. Secure Windows Server on-premises and hybrid infrastructures. Module 2. Implement Windows Server high availability. Module 3. Implement disaster recovery in Windows Server on-premises and hybrid environments. Module 4. Migrate servers and workloads in on-premises and hybrid environments. Module 5. Monitor and troubleshoot Windows Server environments.
Exam AZ-305,Designing Microsoft Azure Infrastructure Solutions,Microsoft,Advanced,"As a Microsoft Azure solutions architect, you have subject matter expertise in designing cloud and hybrid solutions that run on Azure, including:","As a Microsoft Azure solutions architect, you have subject matter expertise in designing cloud and hybrid solutions that run on Azure, including: Your responsibilities for this role include advising stakeholders and translating business requirements into designs for Azure solutions that align with the Azure Well-Architected Framework and Cloud Adoption Framework for Azure. In this role, you implement solutions on Azure by partnering with various other job roles, including: As a candidate for this exam, you should have advanced experience and knowledge of IT operations, including networking, virtualization, identity, security, business continuity, disaster recovery, data platforms, and governance. You should manage how decisions in each area affect an overall solution. In addition, you should have experience with: Important The English language version of this exam was updated on October 18, 2024. Review the study guide linked in the Tip box for details about latest changes. If a localized version of this exam is available, it will be updated approximately eight weeks after this date. While Microsoft makes every effort to update localized versions as noted, there may be times when the localized versions of this exam are not updated on this schedule. Passing score: 700.Learn more about exam scores. Tip"," Module 1. AZ-305 Microsoft Azure Architect Design Prerequisites. Module 2. AZ-305: Design identity, governance, and monitor solutions. Module 3. AZ-305: Design business continuity solutions. Module 4. AZ-305: Design data storage solutions. Module 5. AZ-305: Design infrastructure solutions. Module 6. Build great solutions with the Microsoft Azure Well-Architected Framework."
Exam AZ-400,Designing and Implementing Microsoft DevOps Solutions,Microsoft,Advanced,"As a DevOps engineer, youre a developer or infrastructure administrator who also has subject matter expertise in working with people, processes, and products to enable continuous delivery of value in organizations.","As a DevOps engineer, youre a developer or infrastructure administrator who also has subject matter expertise in working with people, processes, and products to enable continuous delivery of value in organizations. Your responsibilities for this role include delivering Microsoft DevOps solutions that provide continuous security, integration, testing, delivery, deployment, monitoring, and feedback. You design and implement flow of work, collaboration, communication, source control, and automation. As a DevOps engineer, you work on cross-functional teams that include: You must have experience both administering and developing in Azure, with strong skills in at least one of these areas. You should also have experience implementing both GitHub and Azure DevOps solutions. Important The English language version of this exam was updated on July 26, 2024. Review the study guide linked in the Tip box for details about the latest changes. If a localized version of this exam is available, it will be updated approximately eight weeks after this date. While Microsoft makes every effort to update localized versions as noted, there may be times when the localized versions of this exam are not updated on this schedule. Passing score: 700.Learn more about exam scores. Tip", Module 1. AZ-400: Development for enterprise DevOps. Module 2. AZ-400: Implement CI with Azure Pipelines and GitHub Actions. Module 3. AZ-400: Design and implement a release strategy. Module 4. AZ-400: Implement a secure continuous deployment using Azure Pipelines. Module 5. AZ-400: Manage infrastructure as code using Azure and DSC. Module 6. AZ-400: Design and implement a dependency management strategy. Module 7. AZ-400: Implement continuous feedback. Module 8. AZ-400: Implement security and validate code bases for compliance.
N/A,GitHub Actions,Microsoft,Intermediate,"Certify your proficiency in automating workflows and accelerating development with GitHub Actions. Test your skills in streamlining workflows, automating tasks, and optimizing software pipelines, including CICDall within customizable workflows. Once achieved, the certification will be valid for two years.","Certify your proficiency in automating workflows and accelerating development with GitHub Actions. Test your skills in streamlining workflows, automating tasks, and optimizing software pipelines, including CICDall within customizable workflows. Once achieved, the certification will be valid for two years. Important This exam is provided by Microsoft, but the exam and associated certification are maintained by GitHub. Learn more aboutGitHubs privacy policy.", Module 1. Automate your workflow with GitHub Actions.
N/A,GitHub Administration,Microsoft,Intermediate,"Certify your ability to optimize and manage a healthy GitHub environment with the GitHub Admin exam. Highlight your expertise in repository management, workflow optimization, and efficient collaboration to support successful projects on GitHub. Once achieved, the certification will be valid for two years.","Certify your ability to optimize and manage a healthy GitHub environment with the GitHub Admin exam. Highlight your expertise in repository management, workflow optimization, and efficient collaboration to support successful projects on GitHub. Once achieved, the certification will be valid for two years. Important This exam is provided by Microsoft, but the exam and associated certification are maintained by GitHub. Learn more aboutGitHubs privacy policy.", Module 1. GitHub fundamentals - Administration basics and product features.
N/A,GitHub Advanced Security,Microsoft,Intermediate,"Highlight your code security knowledge with the GitHub Advanced Security certification. Validate your expertise in vulnerability identification, workflow security, and robust security implementationelevating software integrity standards. Once achieved, the certification will be valid for two years.","Highlight your code security knowledge with the GitHub Advanced Security certification. Validate your expertise in vulnerability identification, workflow security, and robust security implementationelevating software integrity standards. Once achieved, the certification will be valid for two years. Important This exam is provided by Microsoft, but the exam and associated certification are maintained by GitHub. Learn more aboutGitHubs privacy policy.", Module 1. GitHub Advanced Security.
N/A,GitHub Copilot,Microsoft,Intermediate,"This exam is designed for individuals in the field of software development who are proficient in using GitHub, including software developers, administrators, and project managers. This certification is intended for individuals who have a foundational understanding of GitHub Copilot as a product and its available features, along with hands-on experience in optimizing software development workflows using GitHub Copilot. Once achieved, the certification will be valid for two years.","This exam is designed for individuals in the field of software development who are proficient in using GitHub, including software developers, administrators, and project managers. This certification is intended for individuals who have a foundational understanding of GitHub Copilot as a product and its available features, along with hands-on experience in optimizing software development workflows using GitHub Copilot. Once achieved, the certification will be valid for two years. Important This exam is provided by Microsoft, but the exam and associated certification are maintained by GitHub. Learn more aboutGitHubs privacy policy.", Module 1. GitHub Copilot.
N/A,GitHub Foundations,Microsoft,Beginner,"Highlight your understanding of the foundational topics and concepts of collaborating, contributing, and working on GitHub. This exam covers collaboration, GitHub products, Git basics, and working within GitHub repositories. Once achieved, the certification will be valid for two years.","Highlight your understanding of the foundational topics and concepts of collaborating, contributing, and working on GitHub. This exam covers collaboration, GitHub products, Git basics, and working within GitHub repositories. Once achieved, the certification will be valid for two years. Important This exam is provided by Microsoft, but the exam and associated certification are maintained by GitHub. Learn more aboutGitHubs privacy policy.", Module 1. GitHub Foundations.
Exam MS-102,Microsoft 365 Administrator,Microsoft,Intermediate,"If youre an administrator who deploys and manages Microsoft 365 and performs Microsoft 365 tenant-level implementation and administration of cloud and hybrid environments, this exam is designed for you.","If youre an administrator who deploys and manages Microsoft 365 and performs Microsoft 365 tenant-level implementation and administration of cloud and hybrid environments, this exam is designed for you. As a Microsoft 365 administrator, you: As a candidate for this exam, you have functional experience with all Microsoft 365 workloads and Microsoft Entra ID and have administered at least one of these. You should also have a working knowledge of the following: To become a Microsoft 365 Certified: Administrator Expert, you must earn at least one of the following:Microsoft 365 Certified: Endpoint Administrator Associate,Microsoft 365 Certified: Messaging Administrator Associate,Microsoft 365 Certified: Teams Administrator Associate,Microsoft Certified: Identity and Access Administrator Associate,Microsoft Certified: Information Security Administrator Associatecertification. Important The English language version of this exam was updated on  April 25, 2025. Review the study guide linked in the Tip box for details on upcoming changes. If a localized version of this exam is available, it will be updated approximately eight weeks after this date. While Microsoft makes every effort to update localized versions as noted, there may be times when the localized versions of this exam are not updated on this schedule. Passing score: 700.Learn more about exam scores. Tip", Module 1. MS-102 Configure your Microsoft 365 tenant. Module 2. MS-102 Manage your Microsoft 365 tenant. Module 3. MS-102 Implement identity synchronization. Module 4. Manage identity and access in Microsoft 365. Module 5. MS-102 Manage your security services in Microsoft Defender XDR. Module 6. MS-102 Implement threat protection by using Microsoft Defender XDR. Module 7. MS-102 Explore data governance in Microsoft 365. Module 8. MS-102 Implement compliance in Microsoft 365. Module 9. MS-102 Manage compliance in Microsoft 365.
